번호,작성자,작성일,댓글,회차,좋아요,대댓글수,댓글_전처리,댓글_토큰,감정_라벨
1321,♡몰랑이♡,17.03.24,영준 순정 인걸 알다 넘다 멋있다,김 비서가 왜 그럴까(애장판) 74화,8,댓글 달기,영준 순정 인걸 알다 넘다 멋있다,"['영준', '순정', '인걸', '알다', '넘다', '멋있다']",Positive
1322,Heejin,17.03.22,래미 키우다 엄마 오빠 맨트 받다 느끼다 정도 아니다,김 비서가 왜 그럴까(애장판) 53화,8,1,래미 키우다 엄마 오빠 맨트 받다 느끼다 정도 아니다,"['래미', '키우다', '엄마', '오빠', '맨트', '받다', '느끼다', '정도', '아니다']",Positive
1323,쩡이,17.03.03,영준 알다 잊어버리다 하다 아니다 그렇다 행복하다 지다 일부러 기절 하다 가다,김 비서가 왜 그럴까(애장판) 42화,8,댓글 달기,영준 알다 잊어버리다 하다 아니다 그렇다 행복하다 지다 일부러 기절 하다 가다,"['영준', '알다', '잊어버리다', '하다', '아니다', '그렇다', '행복하다', '지다', '일부러', '기절', '하다', '가다']",Negative
1324,쥬쥬,17.03.03,김비 어디가 보다,김 비서가 왜 그럴까(애장판) 29화,8,댓글 달기,김비 어디가 보다,"['김비', '어디가', '보다']",Neutral
1325,아스,17.03.03,미소 똑똑하다 성연 아니다 는걸 알다,김 비서가 왜 그럴까(애장판) 34화,8,댓글 달기,미소 똑똑하다 성연 아니다 는걸 알다,"['미소', '똑똑하다', '성연', '아니다', '는걸', '알다']",Positive
1326,"밤하늘빛술한잔,별빛안주한입",17.02.28,성연 문제 부모님 차다 아니다 매사 비교 되다 월반 하다 학년 이면 비교 하다 그렇다 학교 보내다 성연 자격지심 심하다 하다 부모님 신경 쓰다 관리 자다 하다 지경 돼다 유괴 사건 후의 대처 어거지 재미있다 잘나다 부모님 설정 이상하다,김 비서가 왜 그럴까(애장판) 34화,8,댓글 달기,성연 문제 부모님 차다 아니다 매사 비교 되다 월반 하다 학년 이면 비교 하다 그렇다 학교 보내다 성연 자격지심 심하다 하다 부모님 신경 쓰다 관리 자다 하다 지경 돼다 유괴 사건 후의 대처 어거지 재미있다 잘나다 부모님 설정 이상하다,"['성연', '문제', '부모님', '차다', '아니다', '매사', '비교', '되다', '월반', '하다', '학년', '이면', '비교', '하다', '그렇다', '학교', '보내다', '성연', '자격지심', '심하다', '하다', '부모님', '신경', '쓰다', '관리', '자다', '하다', '지경', '돼다', '유괴', '사건', '후의', '대처', '어거지', '재미있다', '잘나다', '부모님', '설정', '이상하다']",Negative
1327,그녀의웃음이좋다,17.02.27,부르다 지다 부르다 지다 부르다 지다,김 비서가 왜 그럴까(애장판) 66화,8,댓글 달기,부르다 지다 부르다 지다 부르다 지다,"['부르다', '지다', '부르다', '지다', '부르다', '지다']",Negative
1328,ㅃㄹ,17.02.26,미소 기억 어리다 성준 하다 성연 대부분 돌림자 써다 개명,김 비서가 왜 그럴까(애장판) 24화,8,댓글 달기,미소 기억 어리다 성준 하다 성연 대부분 돌림자 써다 개명,"['미소', '기억', '어리다', '성준', '하다', '성연', '대부분', '돌림자', '써다', '개명']",Positive
1329,바다하늘태양,17.02.25,신기하다 아들 태몽 아들 지구 정복 아들 넓다 바다 밝다 태양 떠오르다 태양 봉화 백마 돌다 놀다 아들 백마 태명 태양 이름 하다 하다 이신 시부모 따르다,김 비서가 왜 그럴까(애장판) 69화,8,댓글 달기,신기하다 아들 태몽 아들 지구 정복 아들 넓다 바다 밝다 태양 떠오르다 태양 봉화 백마 돌다 놀다 아들 백마 태명 태양 이름 하다 하다 이신 시부모 따르다,"['신기하다', '아들', '태몽', '아들', '지구', '정복', '아들', '넓다', '바다', '밝다', '태양', '떠오르다', '태양', '봉화', '백마', '돌다', '놀다', '아들', '백마', '태명', '태양', '이름', '하다', '하다', '이신', '시부모', '따르다']",Positive
1330,얼음공주짱,17.02.22,부회장 기억 하다 미소 비서 김미소 줄알 생각 보다 이영준 부회장 무섭다 섬뜩하다 미소 기억 하다 부회장 기억 하다 마음속,김 비서가 왜 그럴까(애장판) 18화,8,댓글 달기,부회장 기억 하다 미소 비서 김미소 줄알 생각 보다 이영준 부회장 무섭다 섬뜩하다 미소 기억 하다 부회장 기억 하다 마음속,"['부회장', '기억', '하다', '미소', '비서', '김미소', '줄알', '생각', '보다', '이영준', '부회장', '무섭다', '섬뜩하다', '미소', '기억', '하다', '부회장', '기억', '하다', '마음속']",Neutral
1331,보르미히야,17.02.20,식이 용녀 생각 지도 설정 영준 그렇다 유일 랜드 버전 회전목마 느므 좋다,김 비서가 왜 그럴까(애장판) 17화,8,댓글 달기,식이 용녀 생각 지도 설정 영준 그렇다 유일 랜드 버전 회전목마 느므 좋다,"['식이', '용녀', '생각', '지도', '설정', '영준', '그렇다', '유일', '랜드', '버전', '회전목마', '느므', '좋다']",Positive
1332,배고파,17.02.14,진짜 드라마 재밌다,김 비서가 왜 그럴까(애장판) 55화,8,댓글 달기,진짜 드라마 재밌다,"['진짜', '드라마', '재밌다']",Positive
1333,베네베네,16.12.28,고귀남 인도,김 비서가 왜 그럴까(애장판) 59화,8,댓글 달기,고귀남 인도,"['고귀남', '인도']",Neutral
1334,aaron,16.12.27,푸다 미소 먼저 프러포즈 하다 순간 시집가다 도깨비 엔딩 생각 나다,김 비서가 왜 그럴까(애장판) 52화,8,댓글 달기,푸다 미소 먼저 프러포즈 하다 순간 시집가다 도깨비 엔딩 생각 나다,"['푸다', '미소', '먼저', '프러포즈', '하다', '순간', '시집가다', '도깨비', '엔딩', '생각', '나다']",Positive
1335,라울,16.12.11,김밋 거긔 터지다 그르케 불안하다 쎄다 영주,김 비서가 왜 그럴까(애장판) 60화,8,댓글 달기,김밋 거긔 터지다 그르케 불안하다 쎄다 영주,"['김밋', '거긔', '터지다', '그르케', '불안하다', '쎄다', '영주']",Negative
1336,🐾다원:(*￣∇￣)ノ,16.10.19,저주 걸리다,김 비서가 왜 그럴까(애장판) 18화,8,댓글 달기,저주 걸리다,"['저주', '걸리다']",Negative
1337,남주은스키다요~♥,16.10.12,어리다 오빠 회장 이면 대박,김 비서가 왜 그럴까(애장판) 05화,8,댓글 달기,어리다 오빠 회장 이면 대박,"['어리다', '오빠', '회장', '이면', '대박']",Positive
1338,아드마리♥,16.10.03,끼리끼리 모이,김 비서가 왜 그럴까(애장판) 58화,8,댓글 달기,끼리끼리 모이,"['끼리끼리', '모이']",Neutral
1339,촛농,16.09.25,이름 부회장 지다 하다 반응 귀엽다 만화 표현,김 비서가 왜 그럴까(애장판) 16화,8,댓글 달기,이름 부회장 지다 하다 반응 귀엽다 만화 표현,"['이름', '부회장', '지다', '하다', '반응', '귀엽다', '만화', '표현']",Neutral
1340,bammi333,16.09.25,순진하다 데리 하다 인지 쯧쯧 미치다 미치다 되다 불쌍하다 미소,김 비서가 왜 그럴까(애장판) 52화,8,댓글 달기,순진하다 데리 하다 인지 쯧쯧 미치다 미치다 되다 불쌍하다 미소,"['순진하다', '데리', '하다', '인지', '쯧쯧', '미치다', '미치다', '되다', '불쌍하다', '미소']",Neutral
1341,Misschoi,16.09.18,영준 성현 어리다 늙은이,김 비서가 왜 그럴까(애장판) 52화,8,댓글 달기,영준 성현 어리다 늙은이,"['영준', '성현', '어리다', '늙은이']",Neutral
1342,사랑은속삭임이다,16.09.16,정말 좋다 소설 읽다 내내 힐링 되어다,김 비서가 왜 그럴까(애장판) 71화,8,1,정말 좋다 소설 읽다 내내 힐링 되어다,"['정말', '좋다', '소설', '읽다', '내내', '힐링', '되어다']",Positive
1343,프로과금러,16.09.16,지금 웃다 야하다 굉장하다 불쾌하다 저런 라이 지다 이기주 면서 오다 지랄 이노,김 비서가 왜 그럴까(애장판) 08화,8,댓글 달기,지금 웃다 야하다 굉장하다 불쾌하다 저런 라이 지다 이기주 면서 오다 지랄 이노,"['지금', '웃다', '야하다', '굉장하다', '불쾌하다', '저런', '라이', '지다', '이기주', '면서', '오다', '지랄', '이노']",Neutral
1344,수노기,16.09.12,시아버지 사랑 하다,김 비서가 왜 그럴까(애장판) 63화,8,댓글 달기,시아버지 사랑 하다,"['시아버지', '사랑', '하다']",Positive
1345,여인의향기,16.09.06,아버님 쓸데없다 소리 시달리다 하다 미소 영준 닮다 쿨하다 자르다 버리다,김 비서가 왜 그럴까(애장판) 63화,8,댓글 달기,아버님 쓸데없다 소리 시달리다 하다 미소 영준 닮다 쿨하다 자르다 버리다,"['아버님', '쓸데없다', '소리', '시달리다', '하다', '미소', '영준', '닮다', '쿨하다', '자르다', '버리다']",Negative
1346,빡친똥띠,16.09.04,질도 교육 차다 유감,김 비서가 왜 그럴까(애장판) 71화,8,댓글 달기,질도 교육 차다 유감,"['질도', '교육', '차다', '유감']",Negative
1347,Misschoi,16.09.04,이제 미소 가지 영준 대한 어리다 미스테리 영준 엄마 풀리다,김 비서가 왜 그럴까(애장판) 42화,8,댓글 달기,이제 미소 가지 영준 대한 어리다 미스테리 영준 엄마 풀리다,"['이제', '미소', '가지', '영준', '대한', '어리다', '미스테리', '영준', '엄마', '풀리다']",Positive
1348,좋은게좋아!,16.08.28,하니 좋다,김 비서가 왜 그럴까(애장판) 41화,8,댓글 달기,하니 좋다,"['하니', '좋다']",Positive
1349,너의천벌을..기도해.,16.08.26,처녀 꼬시 버리다 유부 남도 크다 잘못 유부 신다 가정 깨다 보이 홀라당 넘어가다 집아 유괴 잘못 복수 하다 상대 제대로 찾다 라이 쓰레기 정도안 가다,김 비서가 왜 그럴까(애장판) 54화,8,댓글 달기,처녀 꼬시 버리다 유부 남도 크다 잘못 유부 신다 가정 깨다 보이 홀라당 넘어가다 집아 유괴 잘못 복수 하다 상대 제대로 찾다 라이 쓰레기 정도안 가다,"['처녀', '꼬시', '버리다', '유부', '남도', '크다', '잘못', '유부', '신다', '가정', '깨다', '보이', '홀라당', '넘어가다', '집아', '유괴', '잘못', '복수', '하다', '상대', '제대로', '찾다', '라이', '쓰레기', '정도안', '가다']",Negative
1350,ㅅㅇㄹ,16.08.25,드라마 제작 되어다 하다 끔찍하다 거미 보다 야하다 몸서리 영준 미소 끔찍하다 정말 영준 미소 미소 영준 아니다 안되다,김 비서가 왜 그럴까(애장판) 57화,8,댓글 달기,드라마 제작 되어다 하다 끔찍하다 거미 보다 야하다 몸서리 영준 미소 끔찍하다 정말 영준 미소 미소 영준 아니다 안되다,"['드라마', '제작', '되어다', '하다', '끔찍하다', '거미', '보다', '야하다', '몸서리', '영준', '미소', '끔찍하다', '정말', '영준', '미소', '미소', '영준', '아니다', '안되다']",Positive
1351,박수현,16.08.21,진짜 하다 막히다 없다 국회 나가다 변호사 하다 되다,김 비서가 왜 그럴까(애장판) 09화,8,댓글 달기,진짜 하다 막히다 없다 국회 나가다 변호사 하다 되다,"['진짜', '하다', '막히다', '없다', '국회', '나가다', '변호사', '하다', '되다']",Negative
1352,느낌있게,16.08.18,성연 넘다 안드 질투 동생 크다 트라우마 들다 고도 죄책감 아프다 성현 부모 관심 쏠리다 뺏다 싶다 가족 상처 주다 성현 제때 치료받다 상처 보살피다 받다 하다 놓다 넘다 기적,김 비서가 왜 그럴까(애장판) 45화,8,댓글 달기,성연 넘다 안드 질투 동생 크다 트라우마 들다 고도 죄책감 아프다 성현 부모 관심 쏠리다 뺏다 싶다 가족 상처 주다 성현 제때 치료받다 상처 보살피다 받다 하다 놓다 넘다 기적,"['성연', '넘다', '안드', '질투', '동생', '크다', '트라우마', '들다', '고도', '죄책감', '아프다', '성현', '부모', '관심', '쏠리다', '뺏다', '싶다', '가족', '상처', '주다', '성현', '제때', '치료받다', '상처', '보살피다', '받다', '하다', '놓다', '넘다', '기적']",Negative
1353,장미칼마검사,16.08.05,슬프다 얼굴 저예산영화,김 비서가 왜 그럴까(애장판) 20화,8,1,슬프다 얼굴 저예산영화,"['슬프다', '얼굴', '저예산영화']",Negative
1354,치노,16.08.03,앞쪽 나오다 머리 여자 영준 만지다 무섭다 미소 립밤 나누다 쓰다 없다 이상하다,김 비서가 왜 그럴까(애장판) 37화,8,댓글 달기,앞쪽 나오다 머리 여자 영준 만지다 무섭다 미소 립밤 나누다 쓰다 없다 이상하다,"['앞쪽', '나오다', '머리', '여자', '영준', '만지다', '무섭다', '미소', '립밤', '나누다', '쓰다', '없다', '이상하다']",Negative
1355,파란하늘,16.08.01,영준 닮다,김 비서가 왜 그럴까(애장판) 58화,8,댓글 달기,영준 닮다,"['영준', '닮다']",Neutral
1356,심심,16.08.01,사랑 하다 닮다,김 비서가 왜 그럴까(애장판) 58화,8,댓글 달기,사랑 하다 닮다,"['사랑', '하다', '닮다']",Positive
1357,실론티,16.07.25,어리다 영준 대견하다 기특하다 어쩜 순간 저런 순발력 발휘 하다,김 비서가 왜 그럴까(애장판) 53화,8,댓글 달기,어리다 영준 대견하다 기특하다 어쩜 순간 저런 순발력 발휘 하다,"['어리다', '영준', '대견하다', '기특하다', '어쩜', '순간', '저런', '순발력', '발휘', '하다']",Positive
1358,삐뚤빼뚤,16.07.24,엄마 문제 때문 거짓말 하다 건지다 이상하다 고치 지금 행복 깨다 싫다 행복하다 거지 볼땐 영준 어리다 나이 가족 지키다 부모 하다 하다,김 비서가 왜 그럴까(애장판) 43화,8,댓글 달기,엄마 문제 때문 거짓말 하다 건지다 이상하다 고치 지금 행복 깨다 싫다 행복하다 거지 볼땐 영준 어리다 나이 가족 지키다 부모 하다 하다,"['엄마', '문제', '때문', '거짓말', '하다', '건지다', '이상하다', '고치', '지금', '행복', '깨다', '싫다', '행복하다', '거지', '볼땐', '영준', '어리다', '나이', '가족', '지키다', '부모', '하다', '하다']",Negative
1359,달님,16.07.19,어리다 영준 기특하다 상황 오빠 미소 챙기다 어리다 영준 무섭다 인연 이어지다 돼다 어리다 미소 결혼 하다 하다 영준 미소 달래다 위해 그렇다 하자 그렇다 기특하다 영준 머리 쓰다 쓰다 해주다 싶다,김 비서가 왜 그럴까(애장판) 53화,8,댓글 달기,어리다 영준 기특하다 상황 오빠 미소 챙기다 어리다 영준 무섭다 인연 이어지다 돼다 어리다 미소 결혼 하다 하다 영준 미소 달래다 위해 그렇다 하자 그렇다 기특하다 영준 머리 쓰다 쓰다 해주다 싶다,"['어리다', '영준', '기특하다', '상황', '오빠', '미소', '챙기다', '어리다', '영준', '무섭다', '인연', '이어지다', '돼다', '어리다', '미소', '결혼', '하다', '하다', '영준', '미소', '달래다', '위해', '그렇다', '하자', '그렇다', '기특하다', '영준', '머리', '쓰다', '쓰다', '해주다', '싶다']",Positive
1360,his,16.07.18,부릅뜨다 키스 만화 넘다 웃기,김 비서가 왜 그럴까(애장판) 41화,8,댓글 달기,부릅뜨다 키스 만화 넘다 웃기,"['부릅뜨다', '키스', '만화', '넘다', '웃기']",Neutral
1361,시율,16.07.07,미소 무시 쌍년 그거 짜다 사촌 동생 하다,김 비서가 왜 그럴까(애장판) 11화,8,댓글 달기,미소 무시 쌍년 그거 짜다 사촌 동생 하다,"['미소', '무시', '쌍년', '그거', '짜다', '사촌', '동생', '하다']",Neutral
1362,구름이,16.07.05,미소 신상 털리다 개그맨 되다 뽕쉣쉣 버둥,김 비서가 왜 그럴까(애장판) 61화,8,댓글 달기,미소 신상 털리다 개그맨 되다 뽕쉣쉣 버둥,"['미소', '신상', '털리다', '개그맨', '되다', '뽕쉣쉣', '버둥']",Positive
1363,Alex_Yun,16.07.04,대화 저절로 엄마 미소 지다,김 비서가 왜 그럴까(애장판) 52화,8,댓글 달기,대화 저절로 엄마 미소 지다,"['대화', '저절로', '엄마', '미소', '지다']",Neutral
1364,suki,16.07.02,비서 없다 오다,김 비서가 왜 그럴까(애장판) 04화,8,댓글 달기,비서 없다 오다,"['비서', '없다', '오다']",Negative
1365,YoU,16.07.02,미소 웃기 하다 이유 생각 하다 고생 많다,김 비서가 왜 그럴까(애장판) 11화,8,댓글 달기,미소 웃기 하다 이유 생각 하다 고생 많다,"['미소', '웃기', '하다', '이유', '생각', '하다', '고생', '많다']",Positive
1366,his,16.07.01,완결 끝나다 알다,김 비서가 왜 그럴까(애장판) 77화,8,2,완결 끝나다 알다,"['완결', '끝나다', '알다']",Neutral
1367,반말하지마세요🐶,16.07.01,확실하다 소설 재밌다,김 비서가 왜 그럴까(애장판) 04화,8,댓글 달기,확실하다 소설 재밌다,"['확실하다', '소설', '재밌다']",Positive
1368,시미,16.06.30,하다 그렇다,김 비서가 왜 그럴까(애장판) 58화,8,댓글 달기,하다 그렇다,"['하다', '그렇다']",Neutral
1369,퓨쳐,16.06.29,미소 끄다 끄다,김 비서가 왜 그럴까(애장판) 19화,8,댓글 달기,미소 끄다 끄다,"['미소', '끄다', '끄다']",Positive
1370,쭈야,16.06.29,화보 다가 소설 오다,김 비서가 왜 그럴까(애장판) 04화,8,댓글 달기,화보 다가 소설 오다,"['화보', '다가', '소설', '오다']",Neutral
1371,행운을주세요.,16.05.13,없다 천지 군더더기 없다 유발 없다 주인공 싸가지 없다 재밌다 읽다 살짝 감동 눈시울 뜨겁다 하다 빵빵 터지다 웃다 소설 없다 정도 캐쉬 지르다 후회 없다 두고두고 우울하다 마다 다시 보다,김 비서가 왜 그럴까(애장판) 78화,8,댓글 달기,없다 천지 군더더기 없다 유발 없다 주인공 싸가지 없다 재밌다 읽다 살짝 감동 눈시울 뜨겁다 하다 빵빵 터지다 웃다 소설 없다 정도 캐쉬 지르다 후회 없다 두고두고 우울하다 마다 다시 보다,"['없다', '천지', '군더더기', '없다', '유발', '없다', '주인공', '싸가지', '없다', '재밌다', '읽다', '살짝', '감동', '눈시울', '뜨겁다', '하다', '빵빵', '터지다', '웃다', '소설', '없다', '정도', '캐쉬', '지르다', '후회', '없다', '두고두고', '우울하다', '마다', '다시', '보다']",Negative
1372,미키,16.04.17,,김 비서가 왜 그럴까(애장판) 75화,8,1,,[],Neutral
1373,딱다구리,16.03.29,영준 애비 되다 박씨 선수,김 비서가 왜 그럴까(애장판) 68화,8,댓글 달기,영준 애비 되다 박씨 선수,"['영준', '애비', '되다', '박씨', '선수']",Neutral
1374,뚜비뚜비,16.03.08,립밤 쓰다 사이 한번 하다 되다,김 비서가 왜 그럴까(애장판) 37화,8,댓글 달기,립밤 쓰다 사이 한번 하다 되다,"['립밤', '쓰다', '사이', '한번', '하다', '되다']",Neutral
1375,딱다구리,16.02.28,영준 멘탈 저런 상황 대단하다 미소 이다 지키다 결혼 하다,김 비서가 왜 그럴까(애장판) 53화,8,댓글 달기,영준 멘탈 저런 상황 대단하다 미소 이다 지키다 결혼 하다,"['영준', '멘탈', '저런', '상황', '대단하다', '미소', '이다', '지키다', '결혼', '하다']",Positive
1376,러브하우스,16.02.26,영준 강력하다 라이벌 등장,김 비서가 왜 그럴까(애장판) 70화,8,댓글 달기,영준 강력하다 라이벌 등장,"['영준', '강력하다', '라이벌', '등장']",Neutral
1377,러브하우스,16.02.24,축하 해주다 좋다 앉다 미소 표정 살피 경사 나중 사돈 맺다 나오다 모르다,김 비서가 왜 그럴까(애장판) 68화,8,댓글 달기,축하 해주다 좋다 앉다 미소 표정 살피 경사 나중 사돈 맺다 나오다 모르다,"['축하', '해주다', '좋다', '앉다', '미소', '표정', '살피', '경사', '나중', '사돈', '맺다', '나오다', '모르다']",Positive
1378,간베,16.02.19,현실 없다 시어머니 이신,김 비서가 왜 그럴까(애장판) 66화,8,댓글 달기,현실 없다 시어머니 이신,"['현실', '없다', '시어머니', '이신']",Negative
1379,오늘도열심히일하라즐기라행복하라,16.02.12,,김 비서가 왜 그럴까(애장판) 70화,8,댓글 달기,,[],Neutral
1380,SarahYoon,16.02.10,미치다 여자 스스로 매다 보다,김 비서가 왜 그럴까(애장판) 50화,8,댓글 달기,미치다 여자 스스로 매다 보다,"['미치다', '여자', '스스로', '매다', '보다']",Neutral
1381,아기하고싶은거다해♡,16.02.09,표현 좋다 기억 쏙쏙 박히다 연인 아니다 모든 인간관계 해당 하다 멋지다 대단하다,김 비서가 왜 그럴까(애장판) 47화,8,댓글 달기,표현 좋다 기억 쏙쏙 박히다 연인 아니다 모든 인간관계 해당 하다 멋지다 대단하다,"['표현', '좋다', '기억', '쏙쏙', '박히다', '연인', '아니다', '모든', '인간관계', '해당', '하다', '멋지다', '대단하다']",Positive
1382,초코순이,16.02.08,진심 태양 챙기다,김 비서가 왜 그럴까(애장판) 70화,8,댓글 달기,진심 태양 챙기다,"['진심', '태양', '챙기다']",Neutral
1383,해파리,16.02.05,태양 깜찍하다 하다,김 비서가 왜 그럴까(애장판) 70화,8,댓글 달기,태양 깜찍하다 하다,"['태양', '깜찍하다', '하다']",Positive
1384,얼음꽃마녀,16.02.05,애기 생기 피부 까칠하다 수척하다 어머님 물다 는걸,김 비서가 왜 그럴까(애장판) 66화,8,댓글 달기,애기 생기 피부 까칠하다 수척하다 어머님 물다 는걸,"['애기', '생기', '피부', '까칠하다', '수척하다', '어머님', '물다', '는걸']",Negative
1385,프리,16.01.31,아빠 원래 그렇다,김 비서가 왜 그럴까(애장판) 71화,8,댓글 달기,아빠 원래 그렇다,"['아빠', '원래', '그렇다']",Neutral
1386,SoulMate:),16.01.30,남다 밉다 보이 조연 남자 인도 불쌍하다 어째,김 비서가 왜 그럴까(애장판) 59화,8,2,남다 밉다 보이 조연 남자 인도 불쌍하다 어째,"['남다', '밉다', '보이', '조연', '남자', '인도', '불쌍하다', '어째']",Negative
1387,🌙💫✨🌟💍,16.01.21,어른 고통 참고 챙기다 하다 힘들다 어리다 영준 진짜 대단하다 진짜 왕자 왕자 하다 모험 끝내다 이불 터널 돌아가다 미소 미소 알다 이야기,김 비서가 왜 그럴까(애장판) 54화,8,댓글 달기,어른 고통 참고 챙기다 하다 힘들다 어리다 영준 진짜 대단하다 진짜 왕자 왕자 하다 모험 끝내다 이불 터널 돌아가다 미소 미소 알다 이야기,"['어른', '고통', '참고', '챙기다', '하다', '힘들다', '어리다', '영준', '진짜', '대단하다', '진짜', '왕자', '왕자', '하다', '모험', '끝내다', '이불', '터널', '돌아가다', '미소', '미소', '알다', '이야기']",Positive
1388,함박이,16.01.21,지아 아유 얄밉다 사랑스럽다,김 비서가 왜 그럴까(애장판) 58화,8,댓글 달기,지아 아유 얄밉다 사랑스럽다,"['지아', '아유', '얄밉다', '사랑스럽다']",Neutral
1389,딱다구리,16.01.20,성연아 심리치료 받다,김 비서가 왜 그럴까(애장판) 26화,8,댓글 달기,성연아 심리치료 받다,"['성연아', '심리치료', '받다']",Positive
1390,도야몽,16.01.19,분홍 분홍 하다 므흣,김 비서가 왜 그럴까(애장판) 62화,8,댓글 달기,분홍 분홍 하다 므흣,"['분홍', '분홍', '하다', '므흣']",Neutral
1391,그대바라기,16.01.18,유식 처럼 진득 친구 부럽다 살다 속마음 내놓다 보여주다 친구 이나 되다,김 비서가 왜 그럴까(애장판) 47화,8,댓글 달기,유식 처럼 진득 친구 부럽다 살다 속마음 내놓다 보여주다 친구 이나 되다,"['유식', '처럼', '진득', '친구', '부럽다', '살다', '속마음', '내놓다', '보여주다', '친구', '이나', '되다']",Negative
1392,🌙💫✨🌟💍,16.01.15,이제 빨다 쓰다 팬티 바뀌다 벗다 빨다 쓰다 비유 진짜,김 비서가 왜 그럴까(애장판) 48화,8,댓글 달기,이제 빨다 쓰다 팬티 바뀌다 벗다 빨다 쓰다 비유 진짜,"['이제', '빨다', '쓰다', '팬티', '바뀌다', '벗다', '빨다', '쓰다', '비유', '진짜']",Neutral
1393,오늘만_사는_뽀시래기🐋,16.01.14,뜬금 없다 뿡쉣쉣쉣버둥 끄다,김 비서가 왜 그럴까(애장판) 61화,8,1,뜬금 없다 뿡쉣쉣쉣버둥 끄다,"['뜬금', '없다', '뿡쉣쉣쉣버둥', '끄다']",Negative
1394,🌙💫✨🌟💍,16.01.13,제목 클라스 마음 빨다 쓰다 끄다,김 비서가 왜 그럴까(애장판) 46화,8,댓글 달기,제목 클라스 마음 빨다 쓰다 끄다,"['제목', '클라스', '마음', '빨다', '쓰다', '끄다']",Positive
1395,HY,16.01.12,소설 이나 드라마 존재 엄마 시월드,김 비서가 왜 그럴까(애장판) 66화,8,댓글 달기,소설 이나 드라마 존재 엄마 시월드,"['소설', '이나', '드라마', '존재', '엄마', '시월드']",Neutral
1396,HY,16.01.11,회전 의자 라이더 표현 차다 카트라이더 떠오르다 잡음,김 비서가 왜 그럴까(애장판) 37화,8,댓글 달기,회전 의자 라이더 표현 차다 카트라이더 떠오르다 잡음,"['회전', '의자', '라이더', '표현', '차다', '카트라이더', '떠오르다', '잡음']",Neutral
1397,얼음꽃마녀,16.01.10,도와주다,김 비서가 왜 그럴까(애장판) 62화,8,댓글 달기,도와주다,['도와주다'],Positive
1398,도야몽,16.01.09,긍정 아이콘 미소 어리다 그렇다 어리다 모습 그림 보다,김 비서가 왜 그럴까(애장판) 52화,8,댓글 달기,긍정 아이콘 미소 어리다 그렇다 어리다 모습 그림 보다,"['긍정', '아이콘', '미소', '어리다', '그렇다', '어리다', '모습', '그림', '보다']",Positive
1399,으르릉,16.01.09,유식 성기 위로 해주다,김 비서가 왜 그럴까(애장판) 30화,8,댓글 달기,유식 성기 위로 해주다,"['유식', '성기', '위로', '해주다']",Neutral
1400,hb0529,16.01.03,물어보다 미소 래야 진도 나가다,김 비서가 왜 그럴까(애장판) 28화,8,댓글 달기,물어보다 미소 래야 진도 나가다,"['물어보다', '미소', '래야', '진도', '나가다']",Positive
1401,코르크에갇힌아이스와인,16.01.02,너구리 추정 되다 계란 그렇다 취존취존 억지로 끄덕 끄덕,김 비서가 왜 그럴까(애장판) 27화,8,2,너구리 추정 되다 계란 그렇다 취존취존 억지로 끄덕 끄덕,"['너구리', '추정', '되다', '계란', '그렇다', '취존취존', '억지로', '끄덕', '끄덕']",Negative
1402,봄날ᆢ오후의나른함,15.12.31,역쉬 박사 빨다 쓰다 대박 떠지다,김 비서가 왜 그럴까(애장판) 47화,8,댓글 달기,역쉬 박사 빨다 쓰다 대박 떠지다,"['역쉬', '박사', '빨다', '쓰다', '대박', '떠지다']",Positive
1403,블루노바,15.12.31,기쁘다 한편 장난감 뺏다 꼬마 처럼 투정 부리,김 비서가 왜 그럴까(애장판) 68화,8,댓글 달기,기쁘다 한편 장난감 뺏다 꼬마 처럼 투정 부리,"['기쁘다', '한편', '장난감', '뺏다', '꼬마', '처럼', '투정', '부리']",Positive
1404,엄지엄지,15.12.28,영준 귀엽다,김 비서가 왜 그럴까(애장판) 59화,8,댓글 달기,영준 귀엽다,"['영준', '귀엽다']",Positive
1405,💖내꺼하자💖,15.12.27,놓다 밉다 겠다 넘다 욱겨 넘다 재미 지다 이케 유쾌하다 되다 영준 미소 만담 스럽다 대화 모습 상상 되다 고귀남 콧털 영준 질투 하다 모습 막판 꾸웩 뿜었다능 짱짱 이심 유식 없다 안되다 감초 역할 지대 박박사 느므좋 오늘 왕창 웃다 가다,김 비서가 왜 그럴까(애장판) 21화,8,댓글 달기,놓다 밉다 겠다 넘다 욱겨 넘다 재미 지다 이케 유쾌하다 되다 영준 미소 만담 스럽다 대화 모습 상상 되다 고귀남 콧털 영준 질투 하다 모습 막판 꾸웩 뿜었다능 짱짱 이심 유식 없다 안되다 감초 역할 지대 박박사 느므좋 오늘 왕창 웃다 가다,"['놓다', '밉다', '겠다', '넘다', '욱겨', '넘다', '재미', '지다', '이케', '유쾌하다', '되다', '영준', '미소', '만담', '스럽다', '대화', '모습', '상상', '되다', '고귀남', '콧털', '영준', '질투', '하다', '모습', '막판', '꾸웩', '뿜었다능', '짱짱', '이심', '유식', '없다', '안되다', '감초', '역할', '지대', '박박사', '느므좋', '오늘', '왕창', '웃다', '가다']",Neutral
